ID_Depense,Date_Depense,Categorie_Depense,Montant,ID_Magasin
D0000052,2024-03-25,Divers,185,M01
D0000053,2024-04-02,Loyer,5256,M01
D0000054,2024-04-05,Salaires,7138,M01
D0000055,2024-04-11,Publicité,113,M01
D0000056,2024-04-14,Divers,112,M01
D0000057,2024-05-02,Loyer,5256,M01
D0000058,2024-05-05,Salaires,7924,M01
D0000059,2024-05-20,Publicité,105,M01
D0000060,2024-05-12,Divers,61,M01
D0000061,2024-06-02,Loyer,5256,M01
D0000062,2024-06-05,Salaires,8039,M01
D0000063,2024-06-06,Publicité,120,M01
D0000064,2024-06-18,Divers,163,M01
D0000065,2024-07-02,Loyer,5256,M01
D0000066,2024-07-05,Salaires,8449,M01
D0000067,2024-07-08,Publicité,118,M01
D0000068,2024-07-24,Divers,57,M01
D0000069,2024-08-02,Loyer,5256,M01
D0000070,2024-08-05,Salaires,8820,M01
D0000071,2024-08-19,Divers,170,M01
D0000072,2024-09-02,Loyer,5256,M01
D0000073,2024-09-05,Salaires,7108,M01
D0000074,2024-09-04,Publicité,168,M01
D0000075,2024-09-27,Divers,194,M01
D0000076,2024-10-02,Loyer,5256,M01
D0000077,2024-10-05,Salaires,7414,M01
D0000078,2024-10-10,Publicité,138,M01
D0000079,2024-10-28,Divers,156,M01
D0000080,2024-11-02,Loyer,5256,M01
D0000081,2024-11-05,Salaires,7315,M01
D0000082,2024-11-13,Publicité,196,M01
D0000083,2024-11-19,Divers,89,M01
D0000084,2024-12-02,Loyer,5256,M01
D0000085,2024-12-05,Salaires,7033,M01
D0000086,2024-12-28,Divers,104,M01
D0000087,2023-01-02,Loyer,3838,M02
D0000088,2023-01-05,Salaires,7365,M02
D0000089,2023-01-14,Publicité,174,M02
D0000090,2023-01-04,Divers,150,M02
D0000091,2023-02-02,Loyer,3838,M02
D0000092,2023-02-05,Salaires,7967,M02
D0000093,2023-02-04,Publicité,195,M02
D0000094,2023-02-07,Divers,51,M02
D0000095,2023-03-02,Loyer,3838,M02
D0000096,2023-03-05,Salaires,7189,M02
D0000097,2023-03-04,Publicité,183,M02
D0000098,2023-03-28,Divers,181,M02
D0000099,2023-04-02,Loyer,3838,M02
D0000100,2023-04-05,Salaires,7823,M02
D0000101,2023-04-18,Divers,176,M02
D0000102,2023-05-02,Loyer,3838,M02
D0000103,2023-05-05,Salaires,7339,M02
D0000104,2023-05-20,Divers,197,M02
D0000105,2023-06-02,Loyer,3838,M02
D0000106,2023-06-05,Salaires,8078,M02
D0000107,2023-06-20,Publicité,133,M02
D0000108,2023-06-28,Divers,164,M02
D0000109,2023-07-02,Loyer,3838,M02
D0000110,2023-07-05,Salaires,7397,M02
D0000111,2023-07-04,Divers,190,M02
D0000112,2023-08-02,Loyer,3838,M02
D0000113,2023-08-05,Salaires,7466,M02
D0000114,2023-08-17,Publicité,178,M02
D0000115,2023-08-13,Divers,60,M02
D0000116,2023-09-02,Loyer,3838,M02
D0000117,2023-09-05,Salaires,8398,M02
D0000118,2023-09-21,Divers,117,M02
D0000119,2023-10-02,Loyer,3838,M02
D0000120,2023-10-05,Salaires,8452,M02
D0000121,2023-10-12,Divers,112,M02
D0000122,2023-11-02,Loyer,3838,M02
D0000123,2023-11-05,Salaires,8164,M02
D0000124,2023-11-17,Publicité,168,M02
D0000125,2023-11-09,Divers,146,M02
D0000126,2023-12-02,Loyer,3838,M02
D0000127,2023-12-05,Salaires,8530,M02
D0000128,2023-12-28,Divers,135,M02
D0000129,2024-01-02,Loyer,4195,M02
D0000130,2024-01-05,Salaires,7287,M02
D0000131,2024-01-05,Divers,122,M02
D0000132,2024-02-02,Loyer,4195,M02
D0000133,2024-02-05,Salaires,8781,M02
D0000134,2024-02-07,Publicité,130,M02
D0000135,2024-02-10,Divers,169,M02
D0000136,2024-03-02,Loyer,4195,M02
D0000137,2024-03-05,Salaires,7378,M02
D0000138,2024-03-26,Divers,165,M02
D0000139,2024-04-02,Loyer,4195,M02
D0000140,2024-04-05,Salaires,8642,M02
D0000141,2024-04-26,Divers,82,M02
D0000142,2024-05-02,Loyer,4195,M02
D0000143,2024-05-05,Salaires,7928,M02
D0000144,2024-05-01,Publicité,174,M02
D0000145,2024-05-23,Divers,185,M02
D0000146,2024-06-02,Loyer,4195,M02
D0000147,2024-06-05,Salaires,7748,M02
D0000148,2024-06-18,Publicité,167,M02
D0000149,2024-06-27,Divers,74,M02
D0000150,2024-07-02,Loyer,4195,M02
D0000151,2024-07-05,Salaires,7201,M02
D0000152,2024-07-04,Publicité,115,M02
D0000153,2024-07-22,Divers,103,M02
D0000154,2024-08-02,Loyer,4195,M02
D0000155,2024-08-05,Salaires,7723,M02
D0000156,2024-08-11,Publicité,190,M02
D0000157,2024-08-04,Divers,138,M02
D0000158,2024-09-02,Loyer,4195,M02
D0000159,2024-09-05,Salaires,8353,M02
D0000160,2024-09-20,Divers,60,M02
D0000161,2024-10-02,Loyer,4195,M02
D0000162,2024-10-05,Salaires,7014,M02
D0000163,2024-10-07,Publicité,159,M02
D0000164,2024-10-25,Divers,53,M02
D0000165,2024-11-02,Loyer,4195,M02
D0000166,2024-11-05,Salaires,8278,M02
D0000167,2024-11-12,Publicité,138,M02
D0000168,2024-11-15,Divers,139,M02
D0000169,2024-12-02,Loyer,4195,M02
D0000170,2024-12-05,Salaires,8925,M02
D0000171,2024-12-07,Publicité,112,M02
D0000172,2024-12-23,Divers,108,M02
D0000173,2023-01-02,Loyer,4097,M03
D0000174,2023-01-05,Salaires,7511,M03
D0000175,2023-01-04,Publicité,173,M03
D0000176,2023-01-16,Divers,129,M03
D0000177,2023-02-02,Loyer,4097,M03
D0000178,2023-02-05,Salaires,8958,M03
D0000179,2023-02-19,Publicité,145,M03
D0000180,2023-02-16,Divers,84,M03
D0000181,2023-03-02,Loyer,4097,M03
D0000182,2023-03-05,Salaires,8229,M03
D0000183,2023-03-02,Publicité,121,M03
D0000184,2023-03-04,Divers,74,M03
D0000185,2023-04-02,Loyer,4097,M03
D0000186,2023-04-05,Salaires,8611,M03
D0000187,2023-04-09,Divers,105,M03
D0000188,2023-05-02,Loyer,4097,M03
D0000189,2023-05-05,Salaires,7142,M03
D0000190,2023-05-21,Divers,169,M03
D0000191,2023-06-02,Loyer,4097,M03
D0000192,2023-06-05,Salaires,7762,M03
D0000193,2023-06-09,Publicité,103,M03
D0000194,2023-06-25,Divers,140,M03
D0000195,2023-07-02,Loyer,4097,M03
D0000196,2023-07-05,Salaires,7781,M03
D0000197,2023-07-15,Divers,120,M03
D0000198,2023-08-02,Loyer,4097,M03
D0000199,2023-08-05,Salaires,8045,M03
D0000200,2023-08-08,Divers,78,M03
D0000201,2023-09-02,Loyer,4097,M03
D0000202,2023-09-05,Salaires,7043,M03
D0000203,2023-09-08,Publicité,111,M03
D0000204,2023-09-14,Divers,178,M03
D0000205,2023-10-02,Loyer,4097,M03
D0000206,2023-10-05,Salaires,7856,M03
D0000207,2023-10-21,Divers,160,M03
D0000208,2023-11-02,Loyer,4097,M03
D0000209,2023-11-05,Salaires,7158,M03
D0000210,2023-11-17,Publicité,105,M03
D0000211,2023-11-19,Divers,127,M03
D0000212,2023-12-02,Loyer,4097,M03
D0000213,2023-12-05,Salaires,7072,M03
D0000214,2023-12-12,Divers,108,M03
D0000215,2024-01-02,Loyer,4351,M03
D0000216,2024-01-05,Salaires,8978,M03
D0000217,2024-01-08,Publicité,194,M03
D0000218,2024-01-13,Divers,153,M03
D0000219,2024-02-02,Loyer,4351,M03
D0000220,2024-02-05,Salaires,7799,M03
D0000221,2024-02-11,Divers,144,M03
D0000222,2024-03-02,Loyer,4351,M03
D0000223,2024-03-05,Salaires,7196,M03
D0000224,2024-03-19,Publicité,191,M03
D0000225,2024-03-18,Divers,184,M03
D0000226,2024-04-02,Loyer,4351,M03
D0000227,2024-04-05,Salaires,8316,M03
D0000228,2024-04-22,Divers,98,M03
D0000229,2024-05-02,Loyer,4351,M03
D0000230,2024-05-05,Salaires,7849,M03
D0000231,2024-05-01,Publicité,138,M03
D0000232,2024-05-24,Divers,191,M03
D0000233,2024-06-02,Loyer,4351,M03
D0000234,2024-06-05,Salaires,8323,M03
D0000235,2024-06-05,Divers,138,M03
D0000236,2024-07-02,Loyer,4351,M03
D0000237,2024-07-05,Salaires,7664,M03
D0000238,2024-07-10,Divers,80,M03
D0000239,2024-08-02,Loyer,4351,M03
D0000240,2024-08-05,Salaires,8689,M03
D0000241,2024-08-10,Publicité,166,M03
D0000242,2024-08-19,Divers,91,M03
D0000243,2024-09-02,Loyer,4351,M03
D0000244,2024-09-05,Salaires,8951,M03
D0000245,2024-09-05,Publicité,106,M03
D0000246,2024-09-12,Divers,59,M03
D0000247,2024-10-02,Loyer,4351,M03
D0000248,2024-10-05,Salaires,8305,M03
D0000249,2024-10-18,Divers,92,M03
D0000250,2024-11-02,Loyer,4351,M03
D0000251,2024-11-05,Salaires,7111,M03
D0000252,2024-11-01,Publicité,143,M03
D0000253,2024-11-20,Divers,179,M03
D0000254,2024-12-02,Loyer,4351,M03
D0000255,2024-12-05,Salaires,8257,M03
D0000256,2024-12-07,Publicité,130,M03
D0000257,2024-12-04,Divers,129,M03
D0000258,2023-01-02,Loyer,3902,M04
D0000259,2023-01-05,Salaires,7891,M04
D0000260,2023-01-13,Publicité,155,M04
D0000261,2023-01-10,Divers,117,M04
D0000262,2023-02-02,Loyer,3902,M04
D0000263,2023-02-05,Salaires,7652,M04
D0000264,2023-02-12,Publicité,101,M04
D0000265,2023-02-28,Divers,108,M04
D0000266,2023-03-02,Loyer,3902,M04
D0000267,2023-03-05,Salaires,8426,M04
D0000268,2023-03-06,Divers,126,M04
D0000269,2023-04-02,Loyer,3902,M04
D0000270,2023-04-05,Salaires,7809,M04
D0000271,2023-04-07,Publicité,152,M04
D0000272,2023-04-03,Divers,86,M04
D0000273,2023-05-02,Loyer,3902,M04
D0000274,2023-05-05,Salaires,8702,M04
D0000275,2023-05-09,Divers,135,M04
D0000276,2023-06-02,Loyer,3902,M04
D0000277,2023-06-05,Salaires,7384,M04
D0000278,2023-06-20,Publicité,190,M04
D0000279,2023-06-08,Divers,192,M04
D0000280,2023-07-02,Loyer,3902,M04
D0000281,2023-07-05,Salaires,8215,M04
D0000282,2023-07-13,Publicité,186,M04
D0000283,2023-07-04,Divers,175,M04
D0000284,2023-08-02,Loyer,3902,M04
D0000285,2023-08-05,Salaires,7512,M04
D0000286,2023-08-02,Publicité,182,M04
D0000287,2023-08-20,Divers,91,M04
D0000288,2023-09-02,Loyer,3902,M04
D0000289,2023-09-05,Salaires,8698,M04
D0000290,2023-09-10,Publicité,135,M04
D0000291,2023-09-01,Divers,114,M04
D0000292,2023-10-02,Loyer,3902,M04
D0000293,2023-10-05,Salaires,8984,M04
D0000294,2023-10-02,Divers,161,M04
D0000295,2023-11-02,Loyer,3902,M04
D0000296,2023-11-05,Salaires,7020,M04
D0000297,2023-11-06,Publicité,138,M04
D0000298,2023-11-04,Divers,69,M04
D0000299,2023-12-02,Loyer,3902,M04
D0000300,2023-12-05,Salaires,8736,M04
D0000301,2023-12-14,Divers,101,M04
D0000302,2024-01-02,Loyer,4145,M04
D0000303,2024-01-05,Salaires,7931,M04
D0000304,2024-01-12,Divers,112,M04
D0000305,2024-02-02,Loyer,4145,M04
D0000306,2024-02-05,Salaires,8193,M04
D0000307,2024-02-17,Publicité,114,M04
D0000308,2024-02-18,Divers,115,M04
D0000309,2024-03-02,Loyer,4145,M04
D0000310,2024-03-05,Salaires,8670,M04
D0000311,2024-03-06,Publicité,132,M04
D0000312,2024-03-21,Divers,118,M04
D0000313,2024-04-02,Loyer,4145,M04
D0000314,2024-04-05,Salaires,8785,M04
D0000315,2024-04-25,Divers,133,M04
D0000316,2024-05-02,Loyer,4145,M04
D0000317,2024-05-05,Salaires,8739,M04
D0000318,2024-05-06,Publicité,112,M04
D0000319,2024-05-13,Divers,121,M04
D0000320,2024-06-02,Loyer,4145,M04
D0000321,2024-06-05,Salaires,8512,M04
D0000322,2024-06-13,Publicité,166,M04
D0000323,2024-06-14,Divers,194,M04
D0000324,2024-07-02,Loyer,4145,M04
D0000325,2024-07-05,Salaires,7838,M04
D0000326,2024-07-21,Divers,120,M04
D0000327,2024-08-02,Loyer,4145,M04
D0000328,2024-08-05,Salaires,7252,M04
D0000329,2024-08-12,Publicité,136,M04
D0000330,2024-08-24,Divers,88,M04
D0000331,2024-09-02,Loyer,4145,M04
D0000332,2024-09-05,Salaires,8584,M04
D0000333,2024-09-06,Divers,91,M04
D0000334,2024-10-02,Loyer,4145,M04
D0000335,2024-10-05,Salaires,7824,M04
D0000336,2024-10-17,Publicité,183,M04
D0000337,2024-10-12,Divers,171,M04
D0000338,2024-11-02,Loyer,4145,M04
D0000339,2024-11-05,Salaires,8507,M04
D0000340,2024-11-19,Divers,121,M04
D0000341,2024-12-02,Loyer,4145,M04
D0000342,2024-12-05,Salaires,7383,M04
D0000343,2024-12-28,Divers,188,M04
D0000344,2023-01-02,Loyer,3839,M05
D0000345,2023-01-05,Salaires,8737,M05
D0000346,2023-01-14,Publicité,127,M05
D0000347,2023-01-10,Divers,82,M05
D0000348,2023-02-02,Loyer,3839,M05
D0000349,2023-02-05,Salaires,7517,M05
D0000350,2023-02-09,Publicité,111,M05
D0000351,2023-02-04,Divers,191,M05
D0000352,2023-03-02,Loyer,3839,M05
D0000353,2023-03-05,Salaires,7108,M05
D0000354,2023-03-07,Divers,109,M05
D0000355,2023-04-02,Loyer,3839,M05
D0000356,2023-04-05,Salaires,7245,M05
D0000357,2023-04-28,Divers,84,M05
D0000358,2023-05-02,Loyer,3839,M05
D0000359,2023-05-05,Salaires,7214,M05
D0000360,2023-05-04,Publicité,131,M05
D0000361,2023-05-06,Divers,145,M05
D0000362,2023-06-02,Loyer,3839,M05
D0000363,2023-06-05,Salaires,8791,M05
D0000364,2023-06-19,Publicité,147,M05
D0000365,2023-06-15,Divers,117,M05
D0000366,2023-07-02,Loyer,3839,M05
D0000367,2023-07-05,Salaires,7613,M05
D0000368,2023-07-22,Divers,75,M05
D0000369,2023-08-02,Loyer,3839,M05
D0000370,2023-08-05,Salaires,8180,M05
D0000371,2023-08-11,Divers,73,M05
D0000372,2023-09-02,Loyer,3839,M05
D0000373,2023-09-05,Salaires,7331,M05
D0000374,2023-09-22,Divers,167,M05
D0000375,2023-10-02,Loyer,3839,M05
D0000376,2023-10-05,Salaires,7761,M05
D0000377,2023-10-19,Publicité,158,M05
D0000378,2023-10-23,Divers,162,M05
D0000379,2023-11-02,Loyer,3839,M05
D0000380,2023-11-05,Salaires,8992,M05
D0000381,2023-11-03,Publicité,145,M05
D0000382,2023-11-25,Divers,167,M05
D0000383,2023-12-02,Loyer,3839,M05
D0000384,2023-12-05,Salaires,8123,M05
D0000385,2023-12-20,Publicité,128,M05
D0000386,2023-12-16,Divers,127,M05
D0000387,2024-01-02,Loyer,4057,M05
D0000388,2024-01-05,Salaires,8329,M05
D0000389,2024-01-16,Divers,68,M05
D0000390,2024-02-02,Loyer,4057,M05
D0000391,2024-02-05,Salaires,7719,M05
D0000392,2024-02-28,Divers,83,M05
D0000393,2024-03-02,Loyer,4057,M05
D0000394,2024-03-05,Salaires,7321,M05
D0000395,2024-03-15,Publicité,107,M05
D0000396,2024-03-24,Divers,108,M05
D0000397,2024-04-02,Loyer,4057,M05
D0000398,2024-04-05,Salaires,7127,M05
D0000399,2024-04-18,Publicité,103,M05
D0000400,2024-04-02,Divers,85,M05
D0000401,2024-05-02,Loyer,4057,M05
D0000402,2024-05-05,Salaires,7852,M05
D0000403,2024-05-06,Divers,150,M05
D0000404,2024-06-02,Loyer,4057,M05
D0000405,2024-06-05,Salaires,7386,M05
D0000406,2024-06-17,Publicité,145,M05
D0000407,2024-06-14,Divers,100,M05
D0000408,2024-07-02,Loyer,4057,M05
D0000409,2024-07-05,Salaires,8766,M05
D0000410,2024-07-11,Divers,88,M05
D0000411,2024-08-02,Loyer,4057,M05
D0000412,2024-08-05,Salaires,8424,M05
D0000413,2024-08-20,Divers,181,M05
D0000414,2024-09-02,Loyer,4057,M05
D0000415,2024-09-05,Salaires,8982,M05
D0000416,2024-09-20,Divers,134,M05
D0000417,2024-10-02,Loyer,4057,M05
D0000418,2024-10-05,Salaires,7524,M05
D0000419,2024-10-04,Divers,119,M05
D0000420,2024-11-02,Loyer,4057,M05
D0000421,2024-11-05,Salaires,8708,M05
D0000422,2024-11-24,Divers,75,M05
D0000423,2024-12-02,Loyer,4057,M05
D0000424,2024-12-05,Salaires,8973,M05
D0000425,2024-12-04,Divers,165,M05
D0000426,2023-01-02,Loyer,3724,M06
D0000427,2023-01-05,Salaires,8491,M06
D0000428,2023-01-17,Divers,200,M06
D0000429,2023-02-02,Loyer,3724,M06
D0000430,2023-02-05,Salaires,7838,M06
D0000431,2023-02-05,Divers,191,M06
D0000432,2023-03-02,Loyer,3724,M06
D0000433,2023-03-05,Salaires,8983,M06
D0000434,2023-03-14,Publicité,189,M06
D0000435,2023-03-06,Divers,167,M06
D0000436,2023-04-02,Loyer,3724,M06
D0000437,2023-04-05,Salaires,7459,M06
D0000438,2023-04-04,Publicité,107,M06
D0000439,2023-04-04,Divers,73,M06
D0000440,2023-05-02,Loyer,3724,M06
D0000441,2023-05-05,Salaires,7587,M06
D0000442,2023-05-01,Publicité,181,M06
D0000443,2023-05-07,Divers,101,M06
D0000444,2023-06-02,Loyer,3724,M06
D0000445,2023-06-05,Salaires,7473,M06
D0000446,2023-06-14,Publicité,169,M06
D0000447,2023-06-25,Divers,51,M06
D0000448,2023-07-02,Loyer,3724,M06
D0000449,2023-07-05,Salaires,7701,M06
D0000450,2023-07-01,Publicité,184,M06
D0000451,2023-07-23,Divers,199,M06
D0000452,2023-08-02,Loyer,3724,M06
D0000453,2023-08-05,Salaires,7850,M06
D0000454,2023-08-24,Divers,74,M06
D0000455,2023-09-02,Loyer,3724,M06
D0000456,2023-09-05,Salaires,8603,M06
D0000457,2023-09-02,Publicité,155,M06
D0000458,2023-09-05,Divers,58,M06
D0000459,2023-10-02,Loyer,3724,M06
D0000460,2023-10-05,Salaires,7141,M06
D0000461,2023-10-19,Divers,130,M06
D0000462,2023-11-02,Loyer,3724,M06
D0000463,2023-11-05,Salaires,8771,M06
D0000464,2023-11-09,Divers,55,M06
D0000465,2023-12-02,Loyer,3724,M06
D0000466,2023-12-05,Salaires,8654,M06
D0000467,2023-12-26,Divers,76,M06
D0000468,2024-01-02,Loyer,4020,M06
D0000469,2024-01-05,Salaires,8509,M06
D0000470,2024-01-02,Divers,147,M06
D0000471,2024-02-02,Loyer,4020,M06
D0000472,2024-02-05,Salaires,7192,M06
D0000473,2024-02-03,Publicité,198,M06
D0000474,2024-02-04,Divers,67,M06
D0000475,2024-03-02,Loyer,4020,M06
D0000476,2024-03-05,Salaires,8384,M06
D0000477,2024-03-05,Publicité,155,M06
D0000478,2024-03-27,Divers,104,M06
D0000479,2024-04-02,Loyer,4020,M06
D0000480,2024-04-05,Salaires,7734,M06
D0000481,2024-04-27,Divers,178,M06
D0000482,2024-05-02,Loyer,4020,M06
D0000483,2024-05-05,Salaires,7269,M06
D0000484,2024-05-18,Divers,166,M06
D0000485,2024-06-02,Loyer,4020,M06
D0000486,2024-06-05,Salaires,8698,M06
D0000487,2024-06-18,Divers,95,M06
D0000488,2024-07-02,Loyer,4020,M06
D0000489,2024-07-05,Salaires,8369,M06
D0000490,2024-07-11,Publicité,163,M06
D0000491,2024-07-16,Divers,82,M06
D0000492,2024-08-02,Loyer,4020,M06
D0000493,2024-08-05,Salaires,7601,M06
D0000494,2024-08-11,Publicité,107,M06
D0000495,2024-08-21,Divers,151,M06
D0000496,2024-09-02,Loyer,4020,M06
D0000497,2024-09-05,Salaires,7366,M06
D0000498,2024-09-03,Publicité,171,M06
D0000499,2024-09-06,Divers,125,M06
D0000500,2024-10-02,Loyer,4020,M06
D0000501,2024-10-05,Salaires,8911,M06
D0000502,2024-10-08,Publicité,187,M06
D0000503,2024-10-18,Divers,109,M06
D0000504,2024-11-02,Loyer,4020,M06
D0000505,2024-11-05,Salaires,7767,M06
D0000506,2024-11-01,Divers,63,M06
D0000507,2024-12-02,Loyer,4020,M06
D0000508,2024-12-05,Salaires,8076,M06
D0000509,2024-12-01,Publicité,110,M06
D0000510,2024-12-06,Divers,195,M06
D0000511,2023-01-02,Loyer,4639,M07
D0000512,2023-01-05,Salaires,7633,M07
D0000513,2023-01-03,Divers,55,M07
D0000514,2023-02-02,Loyer,4639,M07
D0000515,2023-02-05,Salaires,8462,M07
D0000516,2023-02-01,Divers,61,M07
D0000517,2023-03-02,Loyer,4639,M07
D0000518,2023-03-05,Salaires,7049,M07
D0000519,2023-03-04,Divers,144,M07
D0000520,2023-04-02,Loyer,4639,M07
D0000521,2023-04-05,Salaires,8785,M07
D0000522,2023-04-14,Divers,128,M07
D0000523,2023-05-02,Loyer,4639,M07
D0000524,2023-05-05,Salaires,7129,M07
D0000525,2023-05-08,Divers,68,M07
D0000526,2023-06-02,Loyer,4639,M07
D0000527,2023-06-05,Salaires,7108,M07
D0000528,2023-06-09,Publicité,182,M07
D0000529,2023-06-19,Divers,126,M07
D0000530,2023-07-02,Loyer,4639,M07
D0000531,2023-07-05,Salaires,7653,M07
D0000532,2023-07-14,Divers,159,M07
D0000533,2023-08-02,Loyer,4639,M07
D0000534,2023-08-05,Salaires,7493,M07
D0000535,2023-08-06,Publicité,189,M07
D0000536,2023-08-22,Divers,98,M07
D0000537,2023-09-02,Loyer,4639,M07
D0000538,2023-09-05,Salaires,7754,M07
D0000539,2023-09-20,Publicité,190,M07
D0000540,2023-09-24,Divers,58,M07
D0000541,2023-10-02,Loyer,4639,M07
D0000542,2023-10-05,Salaires,7376,M07
D0000543,2023-10-11,Divers,81,M07
D0000544,2023-11-02,Loyer,4639,M07
D0000545,2023-11-05,Salaires,7020,M07
D0000546,2023-11-17,Publicité,117,M07
D0000547,2023-11-25,Divers,179,M07
D0000548,2023-12-02,Loyer,4639,M07
D0000549,2023-12-05,Salaires,7498,M07
D0000550,2023-12-19,Publicité,114,M07
D0000551,2023-12-06,Divers,91,M07
D0000552,2024-01-02,Loyer,5051,M07
D0000553,2024-01-05,Salaires,8337,M07
D0000554,2024-01-28,Divers,97,M07
D0000555,2024-02-02,Loyer,5051,M07
D0000556,2024-02-05,Salaires,8753,M07
D0000557,2024-02-17,Divers,56,M07
D0000558,2024-03-02,Loyer,5051,M07
D0000559,2024-03-05,Salaires,7724,M07
D0000560,2024-03-13,Publicité,179,M07
D0000561,2024-03-25,Divers,187,M07
D0000562,2024-04-02,Loyer,5051,M07
D0000563,2024-04-05,Salaires,8750,M07
D0000564,2024-04-10,Divers,198,M07
D0000565,2024-05-02,Loyer,5051,M07
D0000566,2024-05-05,Salaires,7581,M07
D0000567,2024-05-18,Publicité,134,M07
D0000568,2024-05-13,Divers,113,M07
D0000569,2024-06-02,Loyer,5051,M07
D0000570,2024-06-05,Salaires,8275,M07
D0000571,2024-06-12,Publicité,190,M07
D0000572,2024-06-18,Divers,76,M07
D0000573,2024-07-02,Loyer,5051,M07
D0000574,2024-07-05,Salaires,7103,M07
D0000575,2024-07-15,Divers,82,M07
D0000576,2024-08-02,Loyer,5051,M07
D0000577,2024-08-05,Salaires,8165,M07
D0000578,2024-08-11,Divers,161,M07
D0000579,2024-09-02,Loyer,5051,M07
D0000580,2024-09-05,Salaires,7568,M07
D0000581,2024-09-11,Publicité,131,M07
D0000582,2024-09-28,Divers,60,M07
D0000583,2024-10-02,Loyer,5051,M07
D0000584,2024-10-05,Salaires,7476,M07
D0000585,2024-10-17,Divers,118,M07
D0000586,2024-11-02,Loyer,5051,M07
D0000587,2024-11-05,Salaires,8745,M07
D0000588,2024-11-03,Divers,60,M07
D0000589,2024-12-02,Loyer,5051,M07
D0000590,2024-12-05,Salaires,7438,M07
D0000591,2024-12-20,Divers,104,M07
D0000592,2023-01-02,Loyer,3574,M08
D0000593,2023-01-05,Salaires,7976,M08
D0000594,2023-01-24,Divers,120,M08
D0000595,2023-02-02,Loyer,3574,M08
D0000596,2023-02-05,Salaires,8631,M08
D0000597,2023-02-23,Divers,131,M08
D0000598,2023-03-02,Loyer,3574,M08
D0000599,2023-03-05,Salaires,7056,M08
D0000600,2023-03-21,Divers,75,M08
D0000601,2023-04-02,Loyer,3574,M08
D0000602,2023-04-05,Salaires,8365,M08
D0000603,2023-04-13,Divers,190,M08
D0000604,2023-05-02,Loyer,3574,M08
D0000605,2023-05-05,Salaires,8227,M08
D0000606,2023-05-13,Publicité,184,M08
D0000607,2023-05-08,Divers,154,M08
D0000608,2023-06-02,Loyer,3574,M08
D0000609,2023-06-05,Salaires,7803,M08
D0000610,2023-06-28,Divers,176,M08
D0000611,2023-07-02,Loyer,3574,M08
D0000612,2023-07-05,Salaires,8050,M08
D0000613,2023-07-24,Divers,171,M08
D0000614,2023-08-02,Loyer,3574,M08
D0000615,2023-08-05,Salaires,8880,M08
D0000616,2023-08-04,Publicité,133,M08
D0000617,2023-08-03,Divers,191,M08
D0000618,2023-09-02,Loyer,3574,M08
D0000619,2023-09-05,Salaires,8990,M08
D0000620,2023-09-05,Divers,84,M08
D0000621,2023-10-02,Loyer,3574,M08
D0000622,2023-10-05,Salaires,8848,M08
D0000623,2023-10-02,Publicité,112,M08
D0000624,2023-10-10,Divers,185,M08
D0000625,2023-11-02,Loyer,3574,M08
