macro_topic,side,hotel,sentiment_z,avis
Chambre / Confort,neg,BW_Ronceray_Opera,-1.0,"C'est le pire hôtel où j'ai séjourné. La chambre était petite, sale et sentait mauvais. Le personnel était désagréable et pas du tout serviable. Ils m'ont réveillé à 2 heures du matin pour venir à la réception et payer la taxe de séjour. N'envisagez même pas de réserver ici. C'était ma première et dernière réservation dans ce foutu hôtel."
Localisation / Transports,pos,BW_Ronceray_Opera,1.0,"Emplacement parfait,"
Localisation / Transports,pos,BW_Ronceray_Opera,1.0,Excellent emplacement
Localisation / Transports,pos,BW_Bretagne,1.0,"Je réserve très régulièrement des chambres d'hôtel dans ce quartier et c'est l'un des meilleurs hôtels dans lesquels j'ai séjourné. Très bien situé à proximité des moyens de transports, des restaurants, bars, théâtres... L'accueil a été"
Localisation / Transports,neg,BW_Ronceray_Opera,-1.0,"Mauvais service de serveuse. Mauvais emplacement de la pièce à laquelle il fallait accéder par 2 portes, un escalier et un couloir sans fin."
Localisation / Transports,neg,BW_Ronceray_Opera,-1.0,"L'hôtel est inacceptable ! Seul son emplacement vaut le détour, comme si vous séjourniez dans une maison d'hôtes à Syntagma, à Athènes, et que vous vouliez prendre le métro rien de bien, rien de convenable : infrastructures vétustes, aucun"
Localisation / Transports,neg,BW_Ronceray_Opera,-1.0,On nous a cambriolés à l'hôtel. Ils ont ouvert nos sacs et pris tout notre argent. Le gérant a dit qu'il n'y avait pas de caméras de sécurité. Nous avons déposé une plainte au commissariat et ils ont dit que cela s'était déjà produit. Hôtel sans aucune sécurité. N'y séjournez pas.
Petit-déjeuner,pos,BW_Ronceray_Opera,1.0,Je recommande. Très bon petit déjeuner
Petit-déjeuner,pos,BW_Bretagne,1.0,"Cet hôtel est idéal, le personnel est à l'écoute, souriant et très serviable. La chambre était parfaite, la propreté des lieux au top. La literie de qualité nous a permis de nous reposer, ainsi que le calme de l'hôtel. Le petit déjeuner est"
Petit-déjeuner,pos,BW_Bretagne,1.0,"L'accueil est sympathique et serviable. Les chambres sont correctes et idéales pour les familles. Le petit déjeuner est copieux. Tout est parfait. L'emplacement est idéal, près de la gare, des restaurants, des théâtres. Merveilleux souvenir en famille"
Petit-déjeuner,neg,BW_Ronceray_Opera,-1.0,"Chambres très petites, propres mais très petites dans un bâtiment très ancien et mal entretenu. Petit-déjeuner médiocre. Attention, on vous vole tout sous votre nez dans la salle de petit-déjeuner. Le personnel n'est pas très serviable. À éviter absolument !"
Petit-déjeuner,neg,BW_Bretagne,-1.0,Je ne recommande pas du tout. Non insonorisé. Vieillot. Petit déjeuner pas très bon. Personnel irrespectueux. Et une chaleur incroyable et non réglable.
Petit-déjeuner,neg,BW_Ronceray_Opera,-1.0,"Le pire hôtel où j'ai séjourné de ma vie. Le petit-déjeuner est catastrophique, le service est exécrable, c'est sale. Ils n'ont jamais nettoyé ma chambre, et quand j'ai appelé pour demander qu'elle soit nettoyée, ils m'ont dit qu'ils ne"
Propreté,pos,BW_Bretagne,1.0,"Acceuil excellent.... chaleureux et sympathique. Sens du service évident. Chambre parfaite au calme et très propre. Litière hyper méga confortable... un très très grand merci de la part de angelina, Mélanie et Magali"
Propreté,pos,BW_Bretagne,1.0,"Hotel tout récemment rénové, avec goût. Chambre propre, fonctionnelle, déco moderne. Super accueil qui plus est. Merci et à très bientôt."
Propreté,pos,BW_Bretagne,1.0,Idéalement situé dans Paris. .. Toujours un accueil sympathique. .. chambre grande et propre...
Propreté,neg,BW_Bretagne,-1.0,"à fuir. Le sol était sale, les lits aussi. J'ai retrouvé des cheveux et des poils dans les deux lits, dans la douche et le lavabo. Le lit était froissé et n'était clairement pas propre. Les draps et oreiller étaient tachés. Les"
Propreté,neg,BW_Empire_Elysees,-1.0,"A FUIRE ! Premièrement nous arrivons dans l’hôtel, chambre propre et correcte comme convenu mais petit problème, la télé ne fonctionnait pas, ensuite le sèche cheveux"
Propreté,neg,BW_Litteraire_Marcel_Ayme,-1.0,"Un endroit horrible, je n'ai mis qu'une étoile, car j'étais obligé Le seul point positif, c'est le réceptionniste de l'hôtel, un homme aux cheveux grisonnants qui nous traite avec une extrême gentillesse. À part ça, l'endroit sent"
Rapport qualité-prix,pos,BW_Bretagne,1.0,"Literie très confortable de qualité; bouilloire avec tisanes de qualité ; chambre très propre; petit déjeuner de qualité avec bon produits de marque et œufs brouillés délicieux, servi dans une salle voûtée au niveau-1. Personnel"
Rapport qualité-prix,pos,BW_Bretagne,1.0,"Très bon emplacement, personnel très sympa, bon rapport qualité prix. Toujours mon plaisir !! Ce n’était pas la première fois et ce n’était pas non plus la dernière fois."
Rapport qualité-prix,pos,BW_Bretagne,1.0,Imbattable niveau rapport qualité prix. Chambre de qualité mais surtout personnel incroyable. Je reviendrai.
Rapport qualité-prix,neg,BW_Bretagne,-1.0,"Halls et portes chers, vieux et étroits. Réservation. Com gonfle les prix, je n'utiliserai plus jamais leur service."
Rapport qualité-prix,neg,BW_Ronceray_Opera,-1.0,"J y ai passé une nuit et il n y en aura pas d autre trop cher pour la qualité de service. Les draps avait des taches, des cheveux dans le lavabo et le pire c est les insectes dans la bouilloire sans parler du bruit. Terriblement déçu 😞"
Rapport qualité-prix,neg,BW_Ronceray_Opera,-1.0,"Totalement déçue de la prestation, et du rapport qualité/prix. A ma grande surprise le matin, pas d'eau chaude dans la douche. Après l'avoir signalé et fait constater par un agent de l'hôtel j'ai fait une demande de remboursement qui n'a pas été acceptée. Le responsable s'est contenté de me dire qu'une vérification a été faite le lendemain et qu'il n'y avait pas de problème d'eau chaude dans la douche en me proposant une réduction sur ma prochaine réservation, ce que j'ai refusé puisque je n'ai absolument pas l'intention d'y retourner après avoir mis en cause ma parole."
Salle de bain,pos,BW_Bretagne,1.0,"Nous avons adoré cet hôtel, petit mais parfait pour nos besoins. À proximité du métro, du marché, des bars, etc. La salle de bain était un vrai régal, la propreté était irréprochable. Un délicieux café est servi pour 12 €, mais si"
Salle de bain,pos,BW_Bretagne,1.0,"Très bien situé, près de la gare Montparnasse. Entouré de restaurants, bars et supermarchés. Quartier très calme. L'hôtel est très propre et bien rangé. Excellent service à la réception. Lit très confortable, oreiller double, minibar, bureau, petite armoire et étendoir dans la salle de bain. Hautement recommandé."
Salle de bain,pos,BW_Litteraire_Marcel_Ayme,1.0,"Nous étions deux adultes et deux enfants et occupions un appartement comprenant un salon, une chambre, une kitchenette et une salle de bain. Il était assez spacieux, très propre, avec une belle salle de bain et de bons produits de toilette."
Salle de bain,neg,BW_Empire_Elysees,-1.0,"La seule chose qui peut être échangée dans cet hôtel est l'emplacement, le service est épouvantable, le petit-déjeuner contient du pain absolument immangeable, les chambres avec porte coulissante de la salle de bain sont mauvaises, l'eau"
Salle de bain,neg,BW_Empire_Elysees,-1.0,Moquette très sale 🤮 Mauvaise odeur 🤢🤢
Salle de bain,neg,BW_Litteraire_Marcel_Ayme,-1.0,Hotel trop petit . trop de bruit !! La fenetre de la salle de bain etait cassé il fait froid dans la salle de bain c etait Horrible ... je regrette d etre venu dans cet hotel !! Je ne conseille pas cet hotel !!
