auteur,avis,contributions,hotel,nb_avis_total,note,note_moyenne,sentiment_label,sentiment_score,sentiment_num,sentiment_z,sentiment_polarity,langue,avis_clean,topic_id,topic_score,topic_label,macro_topic,nb_mots,influence_score,influential_flag
Emilie Le Noay,Un peu loin de la Gare Montparnasse mais 10min à pied sans trop de bagage ça se fait. L’arrêt de métro le plus proche est Penerty. Les chambres sont très cosy. Personnel charmant. Je reviendrai.,6,BW_Bretagne,549,5.0,3.8,4 stars,0.5185954570770264,4,0.5,pos,fr,un peu loin de la gare montparnasse mais min à pied sans trop de bagage ça se fait l arrêt de métro le plus proche est penerty les chambres sont très cosy personnel charmant je reviendrai,5,0.0350509554406243,"personnel, sympathique, personnel sympathique, serviable",Accueil / Service,36,0.2473703946417104,0
Jean-Marc CHANCEREL,Bonjour J’ai trouvé une chambre dans l’urgence pour une nuit dans cet établissement. La qualité de la chambre était vraiment excellente pour un prix tout à fait,15,BW_Bretagne,549,5.0,3.8,5 stars,0.5607588291168213,5,1.0,pos,fr,bonjour j ai trouvé une chambre dans l urgence pour une nuit dans cet établissement la qualité de la chambre était vraiment excellente pour un prix tout à fait,3,0.1071747078483671,"chambre, petite, chambre petite, lit",Chambre / Confort,29,0.4713032766762453,0
Sylvie Jaquet,Hôtel rénové proche métro et Gare Montparnasse . Bien situé pour visité Paris et la rive gauche . Personnel accueillant et souriant . Chambre confortable et rénovée . Machine nespresso et mini bar. Peignoirs . Vue sur le jardin de la rue,20,BW_Bretagne,549,5.0,3.8,4 stars,0.4741950333118438,4,0.5,pos,fr,hôtel rénové proche métro et gare montparnasse bien situé pour visité paris et la rive gauche personnel accueillant et souriant chambre confortable et rénovée machine nespresso et mini bar peignoirs vue sur le jardin de la rue,5,0.0558346610750212,"personnel, sympathique, personnel sympathique, serviable",Accueil / Service,37,0.2572178466391477,0
G1373RKerica,"Un Hôtel comme on aime en trouver, surtout à Paris ! Un accueil à la hauteur de nos espérances, la Carte de Fidélité nous a gratifié d'un Upgrade, ça ne se refuse pas ! Chambre très calme, donnant sur une impasse, boissons à disposition",0,BW_Bretagne,549,5.0,3.8,5 stars,0.6160604357719421,5,1.0,pos,fr,un hôtel comme on aime en trouver surtout à paris un accueil à la hauteur de nos espérances la carte de fidélité nous a gratifié d'un upgrade ça ne se refuse pas chambre très calme donnant sur une impasse boissons à disposition,3,0.0574130446847608,"chambre, petite, chambre petite, lit",Chambre / Confort,43,0.4637593933027581,0
Christophe Ccy,"Très bon emplacement, à moins de 10min à pied de Montparnasse. Nombreux restaurants autour. L'extérieur de l'hôtel ne paye pas de mine, mais les chambres sont suffisamment spacieuses, propres et modernes. Les boissons du minibar sont offertes, ce qui est toujours très agréable ! Le lit est confortable et les bruits sont faibles.",48,BW_Bretagne,549,5.0,3.8,5 stars,0.5490291714668274,5,1.0,pos,fr,très bon emplacement à moins de min à pied de montparnasse nombreux restaurants autour l'extérieur de l'hôtel ne paye pas de mine mais les chambres sont suffisamment spacieuses propres et modernes les boissons du minibar sont offertes ce qui est toujours très agréable le lit est confortable et les bruits sont faibles,4,0.0564708085701028,"chambres, petites, chambres petites, propres",Chambre / Confort,54,0.4741152397747161,0
Vincent,"Un accueil chaleureux et professionnel, un service de chambre soigné, une literie très confortable, une chambre à la dimension des standards Parisien et un emplacement de choix pour visiter Paris ou travailler. Séjour du 10 au 12/09/24 pour raison professionnelle.",213,BW_Bretagne,549,5.0,3.8,5 stars,0.5371172428131104,5,1.0,pos,fr,un accueil chaleureux et professionnel un service de chambre soigné une literie très confortable une chambre à la dimension des standards parisien et un emplacement de choix pour visiter paris ou travailler séjour du au pour raison professionnelle,3,0.0822570831682038,"chambre, petite, chambre petite, lit",Chambre / Confort,42,0.4733836041763212,0
Phil,"Super séjour! Merci Cindy à l'accueil pour avoir rendu le séjour parfait! Chambres très propres, exceptionnel petit-déjeuner et tout le personnel super gentil et accueillant, (accueil, petit déjeuner, femmes de chambres).",64,BW_Bretagne,549,5.0,3.8,5 stars,0.8361685872077942,5,1.0,pos,fr,super séjour merci cindy à l'accueil pour avoir rendu le séjour parfait chambres très propres exceptionnel petit-déjeuner et tout le personnel super gentil et accueillant accueil petit déjeuner femmes de chambres,7,0.1432416711698603,"agréable, super, accueil, séjour",Accueil / Service,33,0.4906068519487132,1
Charlotte C.,"Chambre décorée avec goût, literie magnifique, emplacement proche gare, accueil au top. Mille merci au receptionniste pour son accueil des plus chaleureux et sa",1,BW_Bretagne,549,5.0,3.8,5 stars,0.6915780901908875,5,1.0,pos,fr,chambre décorée avec goût literie magnifique emplacement proche gare accueil au top mille merci au receptionniste pour son accueil des plus chaleureux et sa,7,0.1167359262718767,"agréable, super, accueil, séjour",Accueil / Service,24,0.4704935559223663,0
Frédéric VOUAUX,Hôtel bien situé à 5 min à pied de la gare. Un service impeccable et une literie excellente. Un personnel très agréable. On recommande à 100%.,12,BW_Bretagne,549,5.0,3.8,5 stars,0.7855815291404724,5,1.0,pos,fr,hôtel bien situé à min à pied de la gare un service impeccable et une literie excellente un personnel très agréable on recommande à,7,0.1403644864420248,"agréable, super, accueil, séjour",Accueil / Service,26,0.4825330461412762,0
claire gouverith,"Literie très confortable de qualité; bouilloire avec tisanes de qualité ; chambre très propre; petit déjeuner de qualité avec bon produits de marque et œufs brouillés délicieux, servi dans une salle voûtée au niveau-1. Personnel",4,BW_Bretagne,549,5.0,3.8,5 stars,0.6820212602615356,5,1.0,pos,fr,literie très confortable de qualité bouilloire avec tisanes de qualité chambre très propre petit déjeuner de qualité avec bon produits de marque et ufs brouillés délicieux servi dans une salle voûtée au niveau- personnel,1,0.1035198187455173,"qualité, prix, rapport, rapport qualité",Rapport qualité-prix,35,0.4756115215638929,0
Elyse G.,"Bien situé tout près du métro et à 10 minutes de marche de la Gare Montparnasse. Café, thé et eau offerts gratuitement. Accueil cordial et petit déjeuner généreux.",1,BW_Bretagne,549,5.0,3.8,4 stars,0.5576132535934448,4,0.5,pos,fr,bien situé tout près du métro et à minutes de marche de la gare montparnasse café thé et eau offerts gratuitement accueil cordial et petit déjeuner généreux,2,0.0783902138203954,"petit, déjeuner, petit déjeuner, copieux",Petit-déjeuner,28,0.2580414841867697,0
Audrey Monchaux,"Superbe hôtel. Bien accueillis, chambre très bien. Ménage impeccable. Petit déjeuner complet et délicieux. Le personnel est très agréable. Hôtel à proximité de tout. Quartier",107,BW_Bretagne,549,5.0,3.8,5 stars,0.7947903275489807,5,1.0,pos,fr,superbe hôtel bien accueillis chambre très bien ménage impeccable petit déjeuner complet et délicieux le personnel est très agréable hôtel à proximité de tout quartier,7,0.1195264028585842,"agréable, super, accueil, séjour",Accueil / Service,25,0.4726623883265918,0
975magb,"Excellent hôtel (avec Tv, clim, frigo, coffre), excellent personnel (dispo et souriant), excellent emplacement dans Paris, transports à proximité (bus et métro). Idéal pour quelques jours ou la semaine. Le plus de l'hôtel, la parfaite",0,BW_Bretagne,549,5.0,3.8,5 stars,0.9027766585350036,5,1.0,pos,fr,excellent hôtel avec tv clim frigo coffre excellent personnel dispo et souriant excellent emplacement dans paris transports à proximité bus et métro idéal pour quelques jours ou la semaine le plus de l'hôtel la parfaite,6,0.2095297375838133,"emplacement, excellent, excellent emplacement, parfait",Localisation / Transports,36,0.5218293031352063,1
afua bae,Hôtel très bien agréable. Les personnes à l’accueil sont extrêmement gentils. Les chambres sont très bien agencés et confortables. Merci à l’équipe de l’hôtel pour cet agréable séjour!,2,BW_Bretagne,549,5.0,3.8,5 stars,0.5739198327064514,5,1.0,pos,fr,hôtel très bien agréable les personnes à l accueil sont extrêmement gentils les chambres sont très bien agencés et confortables merci à l équipe de l hôtel pour cet agréable séjour,7,0.2615037441305197,"agréable, super, accueil, séjour",Accueil / Service,31,0.5391192611561794,1
cassandra montagnino,"L’hôtel est parfait, très beau. La chambre était très confortable, rien n’a dire. Je recommande pour passer un séjour. Personnel très agréable",8,BW_Bretagne,549,5.0,3.8,5 stars,0.7654411196708679,5,1.0,pos,fr,l hôtel est parfait très beau la chambre était très confortable rien n a dire je recommande pour passer un séjour personnel très agréable,7,0.2099172263472496,"agréable, super, accueil, séjour",Accueil / Service,24,0.5102587228406179,1
Chama MACHA,"Séjour parfait, petit déjeuner très bon,personnel très professionnel et agréable",2,BW_Bretagne,549,5.0,3.8,5 stars,0.6391576528549194,5,1.0,pos,fr,séjour parfait petit déjeuner très bon personnel très professionnel et agréable,7,0.1416968446523221,"agréable, super, accueil, séjour",Accueil / Service,11,0.4684317040307744,0
Adrien Durand-Raucher,Hôtel au top. Super literie. Je recommande,7,BW_Bretagne,549,5.0,3.8,5 stars,0.8712241649627686,5,1.0,pos,fr,hôtel au top super literie je recommande,7,0.1765400695496582,"agréable, super, accueil, séjour",Accueil / Service,7,0.4793890874318336,0
Hervé Jousset,"Remis à neuf récemment, chambre petite mais très convenable. Rapport qualité prix intéressant pour le quartier Montparnasse",178,BW_Bretagne,549,5.0,3.8,4 stars,0.4849714934825897,4,0.5,pos,fr,remis à neuf récemment chambre petite mais très convenable rapport qualité prix intéressant pour le quartier montparnasse,1,0.2433907807399468,"qualité, prix, rapport, rapport qualité",Rapport qualité-prix,17,0.3176976133312639,0
Anne FANTOVA,"Hotel dans le 14e, bien placé. Chambre bien agencée avec de belle salle de bain. Chic et cosy, avec ce qu'il faut dans le frigo pour de déshydrater.",292,BW_Bretagne,549,5.0,3.8,4 stars,0.5222026109695435,4,0.5,pos,fr,hotel dans le e bien placé chambre bien agencée avec de belle salle de bain chic et cosy avec ce qu'il faut dans le frigo pour de déshydrater,8,0.1690115683263461,"salle, bain, salle bain, douche",Salle de bain,29,0.2976921881490242,0
Patricia S,"Confortable, calme, près du métro et de la gare montparnasse. Le personnel est sympathique.",15,BW_Bretagne,549,5.0,3.8,4 stars,0.4871313273906708,4,0.5,pos,fr,confortable calme près du métro et de la gare montparnasse le personnel est sympathique,5,0.1815069548968133,"personnel, sympathique, personnel sympathique, serviable",Accueil / Service,14,0.2883546740350868,0
jpcollin2022,Nous sommes ravis de notre escapade parisienne en famille ; l'hôtel est idéalement placée tout près de la gare Montparnasse et d une station de métro. Les enfants ont beaucoup apprécié le séjour et l hébergement. Bref nous reviendrons avec plaisir,0,BW_Bretagne,549,5.0,3.8,5 stars,0.6560990214347839,5,1.0,pos,fr,nous sommes ravis de notre escapade parisienne en famille l'hôtel est idéalement placée tout près de la gare montparnasse et d une station de métro les enfants ont beaucoup apprécié le séjour et l hébergement bref nous reviendrons avec plaisir,0,0.0445429283949345,"situé, hôtel, hôtel situé, métro",Localisation / Transports,41,0.4563110744490856,0
Jean-Pierre Cusumano,Hotel très pratique (station de métro proche). Personnel tres disponibles. Il n'est pas très grand mais propose dans leur salon des boissons chaudes et des fruits gratuitement. Dans la chambre aussi le mini bar est offert. Et le petit déjeuner très copieux. Je recommande vivement cet hôtel.,24,BW_Bretagne,549,5.0,3.8,5 stars,0.5279176235198975,5,1.0,pos,fr,hotel très pratique station de métro proche personnel tres disponibles il n'est pas très grand mais propose dans leur salon des boissons chaudes et des fruits gratuitement dans la chambre aussi le mini bar est offert et le petit déjeuner très copieux je recommande vivement cet hôtel,2,0.0825893589763486,"petit, déjeuner, petit déjeuner, copieux",Petit-déjeuner,48,0.4793933737055874,0
Pierre-Yves BASTARD,"Personnel accueillant et sympathique. Hotel cosy, confortable, à deux pas de Montparnasse. Je recommande !",6,BW_Bretagne,549,5.0,3.8,5 stars,0.4993670880794525,5,1.0,pos,fr,personnel accueillant et sympathique hotel cosy confortable à deux pas de montparnasse je recommande,5,0.1571908131690061,"personnel, sympathique, personnel sympathique, serviable",Accueil / Service,14,0.4779777482588638,0
Sarah Guedouari,"Aucune remarque à faire, tout était très bien",8,BW_Bretagne,549,5.0,3.8,5 stars,0.5531941056251526,5,1.0,pos,fr,aucune remarque à faire tout était très bien,3,0.0134685567216139,"chambre, petite, chambre petite, lit",Chambre / Confort,8,0.4107762319959467,0
Daniel DOURTHE,"Hotel quasiment parfait dans cette gamme de prix et qui vaut des 4 étoiles en propreté, services à disposition dans la chambre : Thé de grande marque et bio, infusion, chocolat chaud, frigo avec eau en bouteille à disposition etc....Bravo ! il vous faut continuer ainsi !",7,BW_Bretagne,549,5.0,3.8,4 stars,0.903568685054779,4,0.5,pos,fr,hotel quasiment parfait dans cette gamme de prix et qui vaut des étoiles en propreté services à disposition dans la chambre thé de grande marque et bio infusion chocolat chaud frigo avec eau en bouteille à disposition etc bravo il vous faut continuer ainsi,3,0.0365574532228977,"chambre, petite, chambre petite, lit",Chambre / Confort,45,0.2568152493221786,0
Vincent,Hôtel très confortable et calme. Boisson divers au minibars sans supplément. Cependant la décoration est très vieillissent.,49,BW_Bretagne,549,5.0,3.8,3 stars,0.4994841814041137,3,0.0,neu,fr,hôtel très confortable et calme boisson divers au minibars sans supplément cependant la décoration est très vieillissent,0,0.030372009270144,"situé, hôtel, hôtel situé, métro",Localisation / Transports,17,0.0267917449073874,0
Sylbret,Hôtel classique mais très propre et personnel sympathique Malgré que les chambres soient petites elles sont bien équipées et très propres Personnel très gentil et très attentionné Déjeuner copieux tout est parfait je recommande,0,BW_Bretagne,549,5.0,3.8,4 stars,0.4702763557434082,4,0.5,pos,fr,hôtel classique mais très propre et personnel sympathique malgré que les chambres soient petites elles sont bien équipées et très propres personnel très gentil et très attentionné déjeuner copieux tout est parfait je recommande,5,0.1789432621243407,"personnel, sympathique, personnel sympathique, serviable",Accueil / Service,34,0.306820519048758,0
Edouard Bachir,"Très bon accueil et service généreux.Les prestations et les chambres répondent bien aux normes des 4 étoiles. Il faut juste savoir que la deco des années 80, un petit voyage dans le temps.",296,BW_Bretagne,549,5.0,3.8,4 stars,0.9807445406913756,4,0.5,pos,fr,très bon accueil et service généreux les prestations et les chambres répondent bien aux normes des étoiles il faut juste savoir que la deco des années un petit voyage dans le temps,4,0.0424321075283954,"chambres, petites, chambres petites, propres",Chambre / Confort,34,0.248564314806919,0
Sophie Lala,"Chambre spatieuse, bien équipée et propre. Service de garde de consigne de bagages: très pratique! Personnel accueillant.",16,BW_Bretagne,549,5.0,3.8,4 stars,0.4777349829673767,4,0.5,pos,fr,chambre spatieuse bien équipée et propre service de garde de consigne de bagages très pratique personnel accueillant,9,0.0987727685502772,"propre, hôtel propre, chambre propre, confortable",Propreté,17,0.2559818035125958,0
David Mister,personnel top ! chambre spacieuse ! équipements nombreux et diverses ! mini bar bien apprécié,191,BW_Bretagne,549,5.0,3.8,5 stars,0.7340099811553955,5,1.0,pos,fr,personnel top chambre spacieuse équipements nombreux et diverses mini bar bien apprécié,3,0.0505541241365785,"chambre, petite, chambre petite, lit",Chambre / Confort,12,0.4305144970802947,0
Sophie Bourdon,Jolie et vaste chambre sous les toits...rare sur Paris. Bonne literie et nuit calme. Je conseille... Bon rapport qualité/prix 😊,155,BW_Bretagne,549,5.0,3.8,4 stars,0.5546622276306152,4,0.5,pos,fr,jolie et vaste chambre sous les toits rare sur paris bonne literie et nuit calme je conseille bon rapport qualité prix,1,0.2366265094906224,"qualité, prix, rapport, rapport qualité",Rapport qualité-prix,21,0.318722937595797,0
Chirley RAYMOND,"Super établissement, très grand li et matelas très épais. Chambre agréable et confortable.",30,BW_Bretagne,549,5.0,3.8,5 stars,0.8006653785705566,5,1.0,pos,fr,super établissement très grand li et matelas très épais chambre agréable et confortable,7,0.1615467254528051,"agréable, super, accueil, séjour",Accueil / Service,13,0.4788586409182354,0
miramont optique,"idéalemenyt situé, personnel très courtois et professionnel, chambre très bien équipée et très calme, literie très confortable, je recommande",90,BW_Bretagne,549,5.0,3.8,5 stars,0.7336961030960083,5,1.0,pos,fr,idéalemenyt situé personnel très courtois et professionnel chambre très bien équipée et très calme literie très confortable je recommande,5,0.0534170980153203,"personnel, sympathique, personnel sympathique, serviable",Accueil / Service,19,0.4385822384006961,0
Nadine Derudder,Bon accueil. Personnel compétent et disponible. Literie confortable. Chambre agréable.,4,BW_Bretagne,549,5.0,3.8,4 stars,0.5428213477134705,4,0.5,pos,fr,bon accueil personnel compétent et disponible literie confortable chambre agréable,7,0.1293157420442998,"agréable, super, accueil, séjour",Accueil / Service,10,0.2621700671230741,0
Jean-yves Ouarné,Excellente présentation de l'hôtel Bien reçu et chambre super. Très accueillant,159,BW_Bretagne,549,5.0,3.8,5 stars,0.7890906929969788,5,1.0,pos,fr,excellente présentation de l'hôtel bien reçu et chambre super très accueillant,7,0.0874407085595433,"agréable, super, accueil, séjour",Accueil / Service,12,0.446255865632106,0
Romain CAZAJOUS,Imbattable niveau rapport qualité prix. Chambre de qualité mais surtout personnel incroyable. Je reviendrai.,240,BW_Bretagne,549,5.0,3.8,5 stars,0.8250618577003479,5,1.0,pos,fr,imbattable niveau rapport qualité prix chambre de qualité mais surtout personnel incroyable je reviendrai,1,0.301842821699668,"qualité, prix, rapport, rapport qualité",Rapport qualité-prix,14,0.5397080660332383,1
Anthony UR1080,Idéalement situé dans Paris. .. Toujours un accueil sympathique. .. chambre grande et propre...,56,BW_Bretagne,549,5.0,3.8,5 stars,0.4918174743652344,5,1.0,pos,fr,idéalement situé dans paris toujours un accueil sympathique chambre grande et propre,9,0.0668325470332537,"propre, hôtel propre, chambre propre, confortable",Propreté,12,0.4374613222815805,0
Malena Rose,"C'est un hôtel bien préféré pendent le séjour à Paris, toujours l'ambiance de luxe",68,BW_Bretagne,549,5.0,3.8,4 stars,0.4685212075710296,4,0.5,pos,fr,c'est un hôtel bien préféré pendent le séjour à paris toujours l'ambiance de luxe,7,0.0607950585090731,"agréable, super, accueil, séjour",Accueil / Service,16,0.2387968014415194,0
nicolas pierret,Super accueil très bon conseil pour un restaurant chambre sobre mais très propre,26,BW_Bretagne,549,5.0,3.8,5 stars,0.493300050497055,5,1.0,pos,fr,super accueil très bon conseil pour un restaurant chambre sobre mais très propre,9,0.0977238367848596,"propre, hôtel propre, chambre propre, confortable",Propreté,13,0.4516221909112817,0
Estelle Jourdan,"Séjour professionnel à Paris, je recommande cet hôtel, propre, agréable, soigné et proche de Montparnasse.",2,BW_Bretagne,549,5.0,3.8,5 stars,0.4690910577774048,5,1.0,pos,fr,séjour professionnel à paris je recommande cet hôtel propre agréable soigné et proche de montparnasse,7,0.1625003676476356,"agréable, super, accueil, séjour",Accueil / Service,15,0.4812215984270755,0
Marie Claire PAGES,Hôtel irréprochable tant au niveau de la propreté que de l accueil et du service.,22,BW_Bretagne,549,5.0,3.8,5 stars,0.574618935585022,5,1.0,pos,fr,hôtel irréprochable tant au niveau de la propreté que de l accueil et du service,7,0.0728382809563305,"agréable, super, accueil, séjour",Accueil / Service,15,0.4429582575997371,0
